project_id,project_name,department,status,start_date,end_date,budget,actual_cost,project_manager_id,priority,region
PRJ0019,Supply Chain Automation Phase 3,Engineering,In Progress,2024-09-29,,1200000,984314,EMP0702,High,Abu Dhabi
PRJ0020,Mobile Workforce App,Sustainability,In Progress,2023-08-24,,500000,425118,EMP0509,Medium,Dubai
PRJ0021,Disaster Recovery Setup Phase 3,Procurement,In Progress,2024-03-22,,200000,141028,EMP0619,Low,Dubai
PRJ0022,Smart Building System - Q4,Finance,In Progress,2024-07-27,,200000,230253,EMP0991,Critical,Dubai
PRJ0023,Workflow Automation,Data Science,In Progress,2022-03-20,,120000,115873,EMP0852,High,Sharjah
PRJ0024,Vendor Portal Phase 3,Sales,Completed,2024-05-15,2025-02-04,50000,35517,EMP0884,Medium,Dubai
PRJ0025,Internal Audit Digitisation,Operations,Completed,2023-09-13,2024-09-22,2000000,1846989,EMP0939,Medium,Dubai
PRJ0026,Asset Tracking System Phase 2,Legal,In Progress,2023-01-16,,350000,315328,EMP0058,High,Sharjah
PRJ0027,Resource Scheduling Tool Phase 3,Engineering,Completed,2022-02-08,2023-05-14,800000,795462,EMP0309,Medium,Dubai
PRJ0028,Smart Building System,Operations,In Progress,2023-10-27,,200000,127646,EMP0327,High,Dubai
PRJ0029,Citizen Services Portal Phase 3,Sustainability,Completed,2025-02-16,2025-04-23,500000,402178,EMP0394,High,Abu Dhabi
PRJ0030,Visual Analytics Suite Phase 2,Sustainability,Completed,2024-03-09,2024-09-15,800000,495487,EMP0661,Critical,Dubai
PRJ0031,MLOps Platform,Operations,Completed,2024-12-20,2025-08-26,350000,271282,EMP0361,Medium,Dubai
PRJ0032,Executive Dashboard Phase 3,Marketing,Completed,2022-02-17,2023-05-07,350000,326852,EMP0570,Critical,Abu Dhabi
PRJ0033,Data Lake Implementation - Q2,Marketing,On Hold,,,600000,99294,EMP0120,High,Abu Dhabi
PRJ0034,Cloud Migration Phase 1 - Q4,HR,Completed,2024-05-06,2025-10-09,350000,277074,EMP0408,High,Dubai
PRJ0035,Resource Scheduling Tool - Q3,Operations,Not Started,,,200000,,EMP0326,High,Abu Dhabi
PRJ0036,Employee Wellness App Phase 3,Engineering,Completed,2023-11-16,2025-02-08,1200000,1192457,EMP0814,Critical,Abu Dhabi
PRJ0037,Predictive Healthcare - Q4,Legal,In Progress,2022-03-01,,200000,136628,EMP0732,Medium,Abu Dhabi
PRJ0038,Workflow Automation,HR,Completed,2022-12-07,2023-11-23,1200000,1212741,EMP0418,Low,Dubai
PRJ0039,Predictive Healthcare Phase 2,IT,Completed,2023-05-06,2023-10-02,1200000,1394741,EMP0222,Medium,Abu Dhabi
PRJ0040,Data Platform Modernisation - Q2,Digital,In Progress,2024-06-27,,200000,215610,EMP0536,Medium,Abu Dhabi
PRJ0041,Disaster Recovery Setup Phase 2,Operations,Completed,2022-05-24,2022-07-26,50000,50460,EMP0457,Critical,Ajman
PRJ0042,Vendor Portal - Q1,Finance,Not Started,,,500000,,EMP0925,High,Ajman
PRJ0043,Sentiment Analysis Engine - Q1,Digital,Not Started,,,,,EMP0965,Medium,Dubai
PRJ0044,IoT Sensor Network Phase 3,Legal,Completed,2024-11-13,2025-11-30,1200000,1028583,EMP0134,Low,Dubai
PRJ0045,Geo-spatial Intelligence Phase 2,HR,Completed,2023-11-27,2024-04-07,200000,215466,EMP0232,Medium,Abu Dhabi
PRJ0046,Quality Assurance Automation - Q1,Procurement,Completed,2023-05-17,2024-08-06,350000,281913,EMP0817,Medium,Dubai
PRJ0047,Quality Assurance Automation Phase 3,Marketing,In Progress,2022-10-14,,120000,109568,EMP0039,Medium,Abu Dhabi
PRJ0048,Asset Tracking System Phase 3,Procurement,In Progress,2023-09-17,,1200000,1233416,EMP0806,Medium,Dubai
PRJ0049,Quality Assurance Automation Phase 2,Marketing,In Progress,2024-02-26,,350000,343720,EMP0041,Critical,Dubai
PRJ0050,Executive Dashboard Phase 3,HR,Completed,2024-11-24,2025-08-18,1200000,1165291,EMP0192,Critical,Dubai
PRJ0051,API Gateway Modernisation Phase 3 #51,Legal,Not Started,,,100000,,EMP0608,Medium,Dubai
PRJ0052,Vendor Portal #52,HR,In Progress,2023-02-27,,200000,138010,EMP0719,High,Dubai
PRJ0053,Predictive Healthcare Phase 3 #53,Digital,Completed,2022-01-25,2023-05-30,2000000,2277761,EMP0877,Medium,Dubai
PRJ0054,Risk Assessment Framework Phase 3 #54,Sustainability,In Progress,2025-02-07,,2000000,2215926,EMP0630,Critical,Ras Al Khaimah
PRJ0055,Supply Chain Automation Phase 2 #55,Operations,In Progress,2023-01-10,,200000,147400,EMP0848,Medium,Abu Dhabi
PRJ0056,Disaster Recovery Setup Phase 3 #56,Data Science,Completed,2022-05-11,2023-10-16,120000,109624,EMP0067,Medium,Abu Dhabi
PRJ0057,Geo-spatial Intelligence - Q4 #57,Data Science,Completed,2022-04-15,2022-11-24,80000,57428,EMP0126,Medium,Dubai
PRJ0058,AI Forecasting Engine - Q2 #58,Finance,Completed,2024-05-30,2025-10-12,80000,82559,EMP0502,High,Abu Dhabi
PRJ0059,Smart Building System #59,Finance,Completed,2023-07-09,2024-05-16,120000,95662,EMP0564,Medium,Ras Al Khaimah
PRJ0060,Customer Feedback Platform Phase 2 #60,HR,In Progress,2025-02-23,,2000000,1570564,EMP0499,Low,Dubai
PRJ0061,Employee Wellness App #61,HR,Not Started,,,200000,,EMP0185,Medium,Dubai
PRJ0062,Resource Scheduling Tool #62,Digital,In Progress,2025-01-08,,120000,85938,EMP0119,High,Abu Dhabi
PRJ0063,Real-time Analytics Engine Phase 3 #63,Sustainability,Completed,2023-09-07,2025-02-22,200000,188521,EMP0175,Medium,Abu Dhabi
PRJ0064,Risk Assessment Framework Phase 2 #64,Marketing,Completed,2023-10-29,2024-09-17,1200000,1190513,EMP0933,Medium,Dubai
PRJ0065,Predictive Maintenance - Q3 #65,Finance,Completed,2023-09-20,2024-05-07,500000,548769,EMP0361,Medium,Abu Dhabi
PRJ0066,Risk Assessment Framework #66,Legal,In Progress,2024-04-17,,500000,493737,EMP0149,Critical,Dubai
PRJ0067,Data Platform Modernisation Phase 2 #67,Sales,Completed,2023-08-27,2024-12-25,500000,307103,EMP0478,High,Abu Dhabi
PRJ0068,MLOps Platform Phase 2 #68,Marketing,Completed,2023-07-16,2023-11-07,80000,59670,EMP0375,High,Sharjah
PRJ0069,API Gateway Modernisation #69,Sales,Completed,2024-09-24,2025-03-30,350000,417255,EMP0682,Medium,Abu Dhabi
PRJ0070,Smart Building System Phase 3 #70,Sustainability,Completed,2023-08-06,2023-11-30,1200000,816685,EMP0888,Low,Ras Al Khaimah
PRJ0071,Recommendation System Phase 2 #71,IT,Completed,2023-02-14,2024-01-27,80000,69036,EMP0377,High,Dubai
PRJ0072,Knowledge Management Portal #72,IT,Completed,2022-05-20,2023-10-07,500000,587160,EMP0406,Critical,Abu Dhabi
PRJ0073,Fleet Management System Phase 3 #73,Digital,In Progress,2024-01-12,,500000,359695,EMP0832,Medium,Dubai
PRJ0074,Data Platform Modernisation #74,Sales,Completed,2024-03-22,2025-07-07,1200000,1294629,EMP0989,Medium,Sharjah
PRJ0075,Real-time Analytics Engine #75,Marketing,Completed,2022-03-07,2023-01-19,500000,537041,EMP0570,Medium,Abu Dhabi
PRJ0076,Customer Portal Redesign #76,Sustainability,Completed,2024-12-25,2025-05-15,2000000,2215559,EMP0099,High,Dubai
PRJ0077,Predictive Healthcare #77,Sales,Completed,2023-07-22,2024-05-15,1200000,1360336,EMP0873,Medium,Abu Dhabi
PRJ0078,Employee Wellness App - Q3 #78,Sustainability,Completed,2024-06-04,2025-11-01,50000,42043,EMP0331,Low,Dubai
PRJ0079,Data Platform Modernisation Phase 2 #79,HR,Completed,2023-06-15,2024-10-25,200000,190125,EMP0916,Medium,Dubai
PRJ0080,Energy Optimisation Platform Phase 3 #80,Procurement,Not Started,,,,,EMP0921,Low,Abu Dhabi
PRJ0081,AI Forecasting Engine #81,IT,Completed,2022-05-22,2023-01-04,500000,578539,EMP0787,Medium,Abu Dhabi
PRJ0082,Performance Analytics Phase 2 #82,Operations,Completed,2022-02-25,2022-07-05,1200000,808639,EMP0424,Low,Sharjah
PRJ0083,Visual Analytics Suite - Q2 #83,Engineering,Completed,2024-03-28,2024-09-05,200000,212518,EMP0688,High,Abu Dhabi
PRJ0084,Employee Wellness App Phase 2 #84,Operations,In Progress,2024-09-28,,500000,524904,EMP0363,Medium,Abu Dhabi
PRJ0085,Internal Audit Digitisation - Q3 #85,Finance,Completed,2024-07-24,2024-09-30,50000,41400,EMP0468,Medium,Sharjah
PRJ0086,ERP Consolidation Phase 3 #86,Data Science,Completed,2023-09-08,2024-03-03,80000,79220,EMP0962,Medium,Dubai
PRJ0087,Carbon Footprint Tracker #87,IT,Not Started,,,,,EMP0016,Low,Abu Dhabi
PRJ0088,Quality Assurance Automation #88,Engineering,Completed,2023-03-06,2024-07-21,350000,288057,EMP0464,High,Abu Dhabi
PRJ0089,Employee Wellness App Phase 2 #89,HR,Not Started,,,,,EMP0185,Low,Abu Dhabi
PRJ0090,Risk Assessment Framework Phase 3 #90,Marketing,In Progress,2022-02-22,,500000,308549,EMP0545,Low,Sharjah
PRJ0091,Contract Lifecycle Management - Q1 #91,Marketing,Completed,2022-12-14,2023-05-03,80000,48717,EMP0249,Low,Ajman
PRJ0092,Network Security Overhaul - Q4 #92,Legal,Not Started,,,100000,,EMP0707,High,Abu Dhabi
PRJ0093,Tax Automation Platform Phase 3 #93,IT,In Progress,2025-01-10,,500000,587071,EMP0801,High,Dubai
PRJ0094,Visual Analytics Suite Phase 2 #94,Operations,Completed,2022-10-20,2023-04-13,80000,83672,EMP0848,Medium,Sharjah
PRJ0095,AI Forecasting Engine Phase 2 #95,Finance,In Progress,2023-09-09,,500000,513138,EMP0536,High,Dubai
PRJ0096,Workflow Automation Phase 2 #96,HR,Completed,2022-10-25,2023-10-16,50000,52438,EMP0946,Medium,Abu Dhabi
PRJ0097,Regulatory Compliance Tool #97,IT,Completed,2023-05-03,2023-09-22,800000,634815,EMP0661,Medium,Sharjah
PRJ0098,Regulatory Compliance Tool - Q4 #98,Operations,Completed,2023-06-23,2024-05-27,1200000,804829,EMP0316,High,Dubai
PRJ0099,Mobile Workforce App Phase 2 #99,Finance,In Progress,2024-09-25,,2000000,1747579,EMP0109,High,Abu Dhabi
PRJ0100,Compliance Monitoring #100,HR,Completed,2022-02-22,2023-01-26,120000,78810,EMP0529,High,Abu Dhabi
PRJ0101,Sentiment Analysis Engine Phase 2 #101,HR,In Progress,2024-06-12,,2000000,2381174,EMP0092,Critical,Ras Al Khaimah
PRJ0102,Employee Wellness App Phase 2 #102,IT,Not Started,,,,,EMP0028,Medium,Dubai
PRJ0103,Compliance Monitoring #103,Sustainability,Completed,2023-04-17,2024-06-05,2000000,1400104,EMP0181,Low,Abu Dhabi
PRJ0104,Smart Building System Phase 2 #104,Sustainability,On Hold,2023-07-27,,300000,34402,EMP0449,Medium,Sharjah
PRJ0105,Contract Lifecycle Management - Q4 #105,HR,In Progress,2023-09-07,,50000,32246,EMP0835,High,Abu Dhabi
PRJ0106,Recommendation System #106,Legal,In Progress,2024-09-11,,120000,127050,EMP0953,Critical,Ras Al Khaimah
PRJ0107,Risk Assessment Framework - Q2 #107,Legal,Completed,2023-05-25,2024-09-23,500000,321159,EMP0311,Low,Abu Dhabi
PRJ0108,Recommendation System Phase 2 #108,Digital,In Progress,2023-07-19,,500000,303230,EMP0128,Medium,Dubai
PRJ0109,IoT Sensor Network Phase 2 #109,Sales,Completed,2022-09-13,2023-08-16,1200000,830647,EMP0891,Critical,Abu Dhabi
PRJ0110,Carbon Footprint Tracker - Q1 #110,Finance,In Progress,2024-08-13,,800000,760789,EMP0837,High,Dubai
PRJ0111,Geo-spatial Intelligence Phase 2 #111,Sustainability,In Progress,2024-01-13,,200000,224323,EMP0799,Medium,Dubai
PRJ0112,Performance Analytics #112,Sales,In Progress,2023-07-28,,350000,399993,EMP0761,Medium,Abu Dhabi
PRJ0113,Knowledge Management Portal #113,Engineering,In Progress,2024-09-21,,200000,190294,EMP0248,High,Dubai
PRJ0114,AI Forecasting Engine - Q4 #114,Marketing,Completed,2024-02-23,2024-05-14,80000,76336,EMP0939,High,Abu Dhabi
PRJ0115,AI Forecasting Engine Phase 2 #115,HR,Completed,2024-05-13,2025-09-02,800000,824778,EMP0051,Medium,Dubai
PRJ0116,Citizen Services Portal - Q1 #116,Sales,Completed,2024-06-03,2025-07-10,50000,36481,EMP0201,Low,Sharjah
PRJ0117,AI Forecasting Engine - Q3 #117,Engineering,Completed,2023-06-04,2024-02-02,500000,405713,EMP0277,Medium,Dubai
PRJ0118,Identity Management Upgrade Phase 3 #118,IT,In Progress,2025-01-25,,500000,522211,EMP0890,Medium,Dubai
PRJ0119,Document Management System Phase 3 #119,HR,Completed,2023-04-12,2023-11-20,350000,231272,EMP0851,Low,Abu Dhabi
PRJ0120,Master Data Management Phase 2 #120,Legal,In Progress,2024-09-21,,500000,401100,EMP0496,Critical,Dubai
PRJ0121,Cloud Migration Phase 1 #121,Data Science,In Progress,2023-09-28,,2000000,2040273,EMP0646,Medium,Dubai
PRJ0122,Employee Wellness App #122,Operations,In Progress,2024-04-08,,350000,240610,EMP0391,Medium,Abu Dhabi
PRJ0123,Vendor Portal Phase 3 #123,Marketing,Completed,2022-06-18,2023-01-29,200000,173104,EMP0051,Medium,Abu Dhabi
PRJ0124,Carbon Footprint Tracker - Q1 #124,Operations,Not Started,,,100000,,EMP0250,Medium,Dubai
PRJ0125,Executive Dashboard Phase 3 #125,Operations,On Hold,2024-05-09,,600000,134614,EMP0640,Critical,Abu Dhabi
PRJ0126,Employee Wellness App - Q4 #126,Procurement,In Progress,2024-01-16,,350000,300576,EMP0409,Critical,Sharjah
PRJ0127,Identity Management Upgrade #127,Procurement,In Progress,2023-05-21,,2000000,1894750,EMP0109,Critical,Dubai
PRJ0128,Real-time Analytics Engine Phase 3 #128,Data Science,Not Started,,,500000,,EMP0395,High,Dubai
PRJ0129,MLOps Platform - Q2 #129,Finance,Completed,2022-04-19,2023-02-08,1200000,1077935,EMP0495,Low,Ajman
PRJ0130,Data Platform Modernisation #130,HR,Completed,2022-10-30,2023-01-30,500000,319623,EMP0850,Medium,Abu Dhabi
PRJ0131,Recommendation System - Q1 #131,Legal,Completed,2022-10-01,2023-06-20,200000,199416,EMP0353,Medium,Dubai
PRJ0132,Mobile Workforce App - Q2 #132,IT,Completed,2023-10-07,2025-02-19,50000,59126,EMP0063,High,Abu Dhabi
PRJ0133,Network Security Overhaul #133,Sustainability,Completed,2022-11-27,2024-02-05,200000,149855,EMP0705,High,Ajman
PRJ0134,Employee Wellness App - Q1 #134,Procurement,In Progress,2022-07-02,,80000,93415,EMP0662,High,Dubai
PRJ0135,Contract Lifecycle Management - Q4 #135,IT,Not Started,,,,,EMP0358,Medium,Dubai
PRJ0136,Knowledge Management Portal #136,IT,In Progress,2023-02-15,,200000,162144,EMP0776,High,Abu Dhabi
PRJ0137,Geo-spatial Intelligence Phase 3 #137,Engineering,Not Started,,,,,EMP0643,Low,Abu Dhabi
PRJ0138,Cloud Migration Phase 1 #138,Engineering,In Progress,2023-09-20,,50000,54001,EMP0656,High,Sharjah
PRJ0139,Employee Wellness App - Q2 #139,IT,Completed,2023-12-09,2024-03-27,120000,115179,EMP0662,Medium,Abu Dhabi
PRJ0140,IoT Sensor Network Phase 2 #140,Digital,In Progress,2022-03-21,,2000000,2265880,EMP0939,Critical,Dubai
PRJ0141,Customer Feedback Platform #141,HR,Completed,2024-11-27,2025-04-21,80000,71887,EMP0707,Medium,Dubai
PRJ0142,Mobile Workforce App - Q4 #142,Digital,On Hold,2023-03-09,,300000,52159,EMP0152,Medium,Dubai
PRJ0143,Regulatory Compliance Tool #143,HR,In Progress,2024-09-10,,80000,88693,EMP0101,High,Abu Dhabi
PRJ0144,Compliance Monitoring Phase 2 #144,Finance,In Progress,2024-07-06,,200000,155155,EMP0737,Medium,Abu Dhabi
PRJ0145,Internal Audit Digitisation #145,Digital,In Progress,2025-02-23,,1200000,1158957,EMP0348,Medium,Dubai
PRJ0146,Legacy System Decommission #146,Operations,On Hold,2024-08-24,,150000,43841,EMP0873,Low,Abu Dhabi
PRJ0147,Customer Feedback Platform Phase 2 #147,HR,On Hold,,,600000,192937,EMP0608,High,Dubai
PRJ0148,Resource Scheduling Tool Phase 2 #148,Data Science,Completed,2023-01-16,2024-06-15,200000,205489,EMP0083,High,Dubai
PRJ0149,Workflow Automation #149,Legal,In Progress,2022-08-27,,350000,210995,EMP0268,High,Sharjah
PRJ0150,Mobile Workforce App - Q2 #150,Operations,Completed,2024-04-03,2024-06-24,120000,82200,EMP0273,High,Abu Dhabi
PRJ0151,Performance Analytics Phase 2 #151,Sales,Completed,2023-07-13,2024-04-07,50000,42476,EMP0462,Medium,Dubai
PRJ0152,Regulatory Compliance Tool Phase 3 #152,Marketing,In Progress,2024-03-20,,50000,50880,EMP0513,Low,Dubai
PRJ0153,Customer Portal Redesign #153,IT,On Hold,2023-07-07,,300000,45063,EMP0873,Medium,Dubai
PRJ0154,Quality Assurance Automation Phase 3 #154,Sustainability,In Progress,2023-06-20,,80000,84527,EMP0444,High,Sharjah
PRJ0155,Internal Audit Digitisation Phase 2 #155,IT,Completed,2022-03-15,2023-01-09,1200000,798727,EMP0252,Low,Abu Dhabi
PRJ0156,Internal Audit Digitisation Phase 2 #156,Legal,Completed,2024-06-16,2025-08-28,120000,103825,EMP0916,Low,Sharjah
PRJ0157,IoT Sensor Network Phase 2 #157,Procurement,In Progress,2022-01-30,,120000,96577,EMP0283,Critical,Abu Dhabi
PRJ0158,Regulatory Compliance Tool - Q1 #158,Legal,In Progress,2023-08-21,,2000000,1276379,EMP0206,High,Abu Dhabi
PRJ0159,Recommendation System #159,Digital,In Progress,2023-05-19,,2000000,1545367,EMP0184,Low,Ras Al Khaimah
PRJ0160,Supply Chain Automation #160,Legal,Completed,2022-02-05,2023-02-16,120000,124133,EMP0370,Medium,Abu Dhabi
PRJ0161,AI Forecasting Engine #161,Legal,In Progress,2022-04-30,,800000,848973,EMP0132,Critical,Dubai
PRJ0162,HR System Upgrade #162,Sales,Not Started,,,500000,,EMP0771,Medium,Dubai
PRJ0163,Vendor Portal Phase 2 #163,Sales,Completed,2023-05-28,2024-01-19,1200000,1064972,EMP0174,Medium,Sharjah
PRJ0164,Predictive Maintenance Phase 3 #164,Sales,Completed,2024-03-06,2024-09-13,120000,98501,EMP0030,Medium,Abu Dhabi
PRJ0165,HR System Upgrade - Q4 #165,Procurement,Not Started,,,200000,,EMP0135,High,Abu Dhabi
PRJ0166,Risk Assessment Framework - Q4 #166,Digital,Completed,2024-06-28,2025-03-13,1200000,981763,EMP0375,High,Abu Dhabi
PRJ0167,Compliance Monitoring Phase 2 #167,Operations,Completed,2023-02-03,2024-06-24,500000,570106,EMP0637,Critical,Dubai
PRJ0168,Asset Tracking System Phase 2 #168,Legal,In Progress,2022-08-11,,2000000,1982684,EMP0338,Critical,Ras Al Khaimah
PRJ0169,Master Data Management #169,Operations,In Progress,2025-02-03,,120000,119494,EMP0600,Medium,Sharjah
PRJ0170,Data Platform Modernisation - Q2 #170,Marketing,Completed,2023-07-14,2024-09-27,120000,118169,EMP0663,High,Abu Dhabi
PRJ0171,Contract Lifecycle Management - Q3 #171,Operations,Not Started,,,,,EMP0568,Medium,Sharjah
PRJ0172,Master Data Management #172,Data Science,In Progress,2022-01-18,,50000,39945,EMP0101,Medium,Sharjah
PRJ0173,Regulatory Compliance Tool Phase 2 #173,Finance,Not Started,,,,,EMP0361,High,Dubai
PRJ0174,Tax Automation Platform Phase 2 #174,Finance,In Progress,2025-02-24,,120000,136858,EMP0170,Medium,Abu Dhabi
PRJ0175,Master Data Management Phase 2 #175,Sustainability,Completed,2024-08-19,2025-10-11,350000,354892,EMP0277,Critical,Dubai
PRJ0176,Executive Dashboard #176,Engineering,In Progress,2024-02-20,,1200000,993146,EMP0192,High,Dubai
PRJ0177,Asset Tracking System Phase 2 #177,Digital,Not Started,,,500000,,EMP0656,Medium,Abu Dhabi
PRJ0178,Internal Audit Digitisation #178,IT,In Progress,2023-09-07,,800000,920046,EMP0120,Critical,Dubai
PRJ0179,Energy Optimisation Platform Phase 3 #179,Finance,Completed,2022-06-20,2023-02-16,1200000,731487,EMP0688,Medium,Abu Dhabi
PRJ0180,Knowledge Management Portal Phase 3 #180,Sustainability,On Hold,,,300000,111523,EMP0062,High,Dubai
PRJ0181,Knowledge Management Portal - Q4 #181,HR,In Progress,2024-07-27,,80000,63980,EMP0044,Low,Ras Al Khaimah
PRJ0182,Master Data Management #182,Finance,Completed,2024-08-20,2025-05-01,800000,497271,EMP0806,Medium,Abu Dhabi
PRJ0183,Asset Tracking System - Q4 #183,Procurement,In Progress,2023-12-11,,350000,326000,EMP0569,Medium,Abu Dhabi
PRJ0184,Crisis Response System Phase 3 #184,Sustainability,Not Started,,,,,EMP0136,High,Abu Dhabi
PRJ0185,Customer Portal Redesign Phase 3 #185,Data Science,In Progress,2023-05-01,,80000,89457,EMP0016,High,Dubai
PRJ0186,Mobile Workforce App Phase 2 #186,Marketing,Completed,2024-08-01,2025-08-19,500000,535839,EMP0118,High,Abu Dhabi
PRJ0187,Procurement Digitalisation #187,IT,In Progress,2022-07-07,,50000,42989,EMP0816,Medium,Abu Dhabi
PRJ0188,Internal Audit Digitisation Phase 3 #188,Sales,Completed,2024-09-01,2025-12-23,200000,204988,EMP0580,High,Abu Dhabi
PRJ0189,Legacy System Decommission - Q1 #189,IT,Completed,2022-06-12,2022-11-09,200000,151591,EMP0632,High,Abu Dhabi
PRJ0190,Network Security Overhaul Phase 2 #190,IT,Not Started,,,100000,,EMP0185,Medium,Dubai
PRJ0191,Legacy System Decommission Phase 3 #191,Operations,Completed,2023-12-08,2025-02-16,200000,183666,EMP0785,Critical,Dubai
PRJ0192,Legacy System Decommission #192,Engineering,In Progress,2023-12-06,,50000,48595,EMP0974,Medium,Dubai
PRJ0193,Sentiment Analysis Engine #193,Procurement,Completed,2023-10-15,2024-10-10,500000,509422,EMP0718,High,Abu Dhabi
PRJ0194,Knowledge Management Portal - Q3 #194,HR,Completed,2024-09-10,2025-05-17,1200000,936177,EMP0569,Medium,Ajman
PRJ0195,Regulatory Compliance Tool Phase 2 #195,Engineering,Completed,2024-04-19,2025-02-11,1200000,953544,EMP0942,High,Ras Al Khaimah
PRJ0196,Citizen Services Portal - Q4 #196,IT,In Progress,2024-02-29,,800000,935824,EMP0149,High,Abu Dhabi
PRJ0197,Smart Building System - Q2 #197,HR,In Progress,2022-12-20,,120000,114691,EMP0206,Medium,Abu Dhabi
PRJ0198,Tax Automation Platform Phase 3 #198,HR,In Progress,2024-10-15,,800000,555991,EMP0988,Critical,Dubai
PRJ0199,Predictive Maintenance - Q2 #199,Marketing,Completed,2024-06-05,2025-03-14,120000,107088,EMP0799,Low,Ras Al Khaimah
PRJ0200,Customer Portal Redesign - Q3 #200,Marketing,In Progress,2023-04-27,,2000000,2332005,EMP0950,Medium,Dubai
PRJ0201,Customer Feedback Platform Phase 3 #201,Sales,In Progress,2024-05-28,,80000,76757,EMP0614,Medium,Dubai
PRJ0202,Quality Assurance Automation Phase 3 #202,Marketing,On Hold,,,600000,126601,EMP0273,Medium,Abu Dhabi
PRJ0203,Predictive Maintenance - Q3 #203,Finance,Completed,2023-11-10,2024-12-31,200000,228222,EMP0370,High,Dubai
PRJ0204,Predictive Maintenance Phase 2 #204,Digital,Completed,2022-02-09,2022-09-17,2000000,2256873,EMP0433,High,Dubai
PRJ0205,Internal Audit Digitisation - Q4 #205,Marketing,On Hold,2023-09-30,,,,EMP0514,Medium,Abu Dhabi
PRJ0206,IoT Sensor Network Phase 2 #206,HR,Not Started,,,,,EMP0273,Medium,Abu Dhabi
PRJ0207,ERP Consolidation Phase 2 #207,Finance,On Hold,2023-11-18,,150000,52086,EMP0771,Medium,Sharjah
PRJ0208,Disaster Recovery Setup Phase 3 #208,Procurement,In Progress,2023-02-04,,2000000,2158618,EMP0318,Medium,Abu Dhabi
PRJ0209,Quality Assurance Automation Phase 3 #209,Finance,In Progress,2023-08-30,,50000,30864,EMP0768,High,Abu Dhabi
PRJ0210,Citizen Services Portal - Q2 #210,Sales,Completed,2022-11-18,2023-11-17,1200000,1266092,EMP0119,Critical,Dubai
PRJ0211,Regulatory Compliance Tool Phase 3 #211,IT,Completed,2023-10-24,2023-12-31,80000,50516,EMP0377,High,Abu Dhabi
PRJ0212,Identity Management Upgrade #212,Sales,Completed,2023-10-26,2024-07-14,120000,95515,EMP0994,High,Dubai
PRJ0213,Identity Management Upgrade #213,Procurement,Completed,2022-09-28,2023-08-08,80000,92493,EMP0149,Medium,Dubai
PRJ0214,Sentiment Analysis Engine #214,HR,On Hold,2024-02-27,,300000,97576,EMP0578,Medium,Abu Dhabi
PRJ0215,Contract Lifecycle Management Phase 2 #215,Sustainability,Not Started,,,200000,,EMP0181,Low,Sharjah
PRJ0216,Knowledge Management Portal Phase 2 #216,Engineering,Completed,2025-02-16,2025-04-29,50000,49287,EMP0828,Medium,Abu Dhabi
PRJ0217,Predictive Maintenance Phase 2 #217,IT,Completed,2023-10-24,2024-07-08,800000,489242,EMP0914,Medium,Abu Dhabi
